index,actor,movies_count,total_users,avg_rating,image_url
14692,Robert De Niro,62,1515,3.3201612903225803,https://image.tmdb.org/t/p/w500/cT8htcckIuyI1Lqwt1CvD02ynTh.jpg
15387,Samuel L. Jackson,59,1298,3.1296610169491528,https://image.tmdb.org/t/p/w500/AiAYAqwpM5xmiFrAIeQvUXDCVvo.jpg
2325,Bruce Willis,56,1872,2.934107142857143,https://image.tmdb.org/t/p/w500/2jbMZCksnFlEdCZhEvh6GmU4GQl.jpg
13002,Nicolas Cage,51,949,3.018823529411765,https://image.tmdb.org/t/p/w500/y1RtezurZYveYkVNRht7CwEgSYY.jpg
8684,Johnny Depp,49,1268,3.27265306122449,https://image.tmdb.org/t/p/w500/wcI594cwM4ArPwvRd2IU0Z0yLuh.jpg
12036,Michael Caine,47,792,3.356382978723404,https://image.tmdb.org/t/p/w500/bVZRMlpjTAO2pJK6v90buFgVbSW.jpg
12631,Morgan Freeman,46,1307,3.2471739130434782,https://image.tmdb.org/t/p/w500/jPsLqiYGSofU4s6BjrxnefMfabb.jpg
7823,Jeff Bridges,46,598,3.1928260869565217,https://image.tmdb.org/t/p/w500/xms1RAY6q7Lzp7wNeRCB0kzhucn.jpg
17066,Tom Hanks,46,2227,3.353695652173913,https://image.tmdb.org/t/p/w500/eKF1sGJRrZJbfBG1KirPt1cfNd3.jpg
8514,John Goodman,45,727,3.1586666666666665,https://image.tmdb.org/t/p/w500/yyYqoyKHO7hE1zpgEV2XlqYWcNV.jpg
7179,Jackie Chan,44,398,3.2545454545454544,https://image.tmdb.org/t/p/w500/nraZoTzwJQPHspAVsKfgl3RXKKa.jpg
14860,Robin Williams,44,1197,3.0634090909090905,https://image.tmdb.org/t/p/w500/iYdeP6K0qz44Wg2Nw9LPJGMBkQ5.jpg
9486,Keanu Reeves,43,1111,3.083720930232558,https://image.tmdb.org/t/p/w500/8RZLOyYGsoRe9p44q3xin9QkMHv.jpg
4543,Dustin Hoffman,42,871,3.328333333333333,https://image.tmdb.org/t/p/w500/yFjTzJHE6AFbwQifOlnNDzmiwlq.jpg
353,Alec Baldwin,42,520,3.215238095238095,https://image.tmdb.org/t/p/w500/hzKy7x574eeUS3wt1R3yvWBRpeR.jpg
14699,Robert Downey Jr.,42,806,3.217142857142857,https://image.tmdb.org/t/p/w500/5qHNjhtjMD4YWH3UP0rm4tKwxCL.jpg
4163,Dennis Quaid,42,370,3.151904761904762,https://image.tmdb.org/t/p/w500/lMaDAJHzsKH7U3dln2B3kY3rOhE.jpg
14700,Robert Duvall,41,789,3.270243902439024,https://image.tmdb.org/t/p/w500/ybMmK25h4IVtfE7qrnlVp47RQlh.jpg
